"array_element_name","is_control","locus","description"
"255601_at","no","AT4G01030","pentatricopeptide (PPR) repeat-containing protein"
"255602_at","no","AT4G01026","PYR1-like 7"
"255603_at","no","AT4G01040","Glycosyl hydrolase superfamily protein"
"255604_at","no","AT4G01080","TRICHOME BIREFRINGENCE-LIKE 26"
"255605_at","no","AT4G01090","Protein of unknown function (DUF3133)"
"255606_at","no","AT4G01110","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G01453.1); Has 273 Blast hits to 272 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 273; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255607_at","no","AT4G01130","GDSL-like Lipase/Acylhydrolase superfamily protein"
"255608_at","no","AT4G01140","Protein of unknown function (DUF1191)"
"255609_s_at","no","AT4G01180;AT5G59390","[AT4G01180, XH/XS domain-containing protein];[AT5G59390, XH/XS domain-containing protein]"
"255610_at","no","AT4G01190","phosphatidylinositol phosphate kinase 10"
"255611_at","no","AT4G01210","glycosyl transferase family 1 protein"
"255612_at","no","AT4G01240","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"255613_at","no","AT4G01270","RING/U-box superfamily protein"
"255614_at","no","AT4G01280","Homeodomain-like superfamily protein"
"255615_at","no","AT4G01290","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 1744 Blast hits to 1308 proteins in 219 species: Archae - 0; Bacteria - 241; Metazoa - 793; Fungi - 253; Plants - 108; Viruses - 0; Other Eukaryotes - 349 (source: NCBI BLink)."
"255616_at","no","AT4G01290","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 1744 Blast hits to 1308 proteins in 219 species: Archae - 0; Bacteria - 241; Metazoa - 793; Fungi - 253; Plants - 108; Viruses - 0; Other Eukaryotes - 349 (source: NCBI BLink)."
"255617_at","no","AT4G01330","Protein kinase superfamily protein"
"255618_at","no","AT4G01340","CHP-rich zinc finger protein-related"
"255619_s_at","no","AT4G01350;AT5G59920","[AT4G01350, Cysteine/Histidine-rich C1 domain family protein];[AT5G59920, Cysteine/Histidine-rich C1 domain family protein]"
"255620_at","no","AT4G01380","plastocyanin-like domain-containing protein"
"255621_at","no","AT4G01390","TRAF-like family protein"
"255622_at","no","AT4G01070","UDP-Glycosyltransferase superfamily protein"
"255623_at","no","AT4G01310","Ribosomal L5P family protein"
"255624_at","no","AT4G01370","MAP kinase 4"
"255625_at","no","AT4G01120","G-box binding factor 2"
"255626_at","no","AT4G00780","TRAF-like family protein"
"255627_at","no","AT4G00955","FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: EGF-like (InterPro:IPR006210); BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT2G23450.1); Has 94 Blast hits to 88 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 10; Fungi - 0; Plants - 84; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255628_at","no","AT4G00850","GRF1-interacting factor 3"
"255629_at","no","AT4G00860","Protein of unknown function (DUF1138)"
"255630_at","no","AT4G00700","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein"
"255631_at","no","AT4G00710","BR-signaling kinase 3"
"255632_at","no","AT4G00680","actin depolymerizing factor 8"
"255633_at","no","AT4G00585","unknown protein; Has 47 Blast hits to 47 proteins in 22 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 7; Plants - 33; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink)."
"255634_at","no","AT4G00650","FRIGIDA-like protein"
"255635_at","no","AT4G00720","shaggy-like protein kinase 32"
"255636_at","no","AT4G00730","Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein"
"255637_at","no","AT4G00750","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"255638_at","no","AT4G00740","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"255639_at","no","AT4G00760","pseudo-response regulator 8"
"255640_at","no","AT4G00800","transducin family protein / WD-40 repeat family protein"
"255642_at","no","AT4G00820","IQ-domain 17"
"255644_at","no","AT4G00870","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"255645_at","no","AT4G00880","SAUR-like auxin-responsive protein family "
"255646_at","no","AT4G00890","proline-rich family protein"
"255647_at","no","AT4G00900","ER-type Ca2+-ATPase 2"
"255648_at","no","AT4G00910","Aluminium activated malate transporter family protein"
"255649_at","no","AT4G00920","COP1-interacting protein-related"
"255650_s_at","no","AT5G37190;AT4G00930","[AT5G37190, COP1-interacting protein 4];[AT4G00930, COP1-interacting protein 4.1]"
"255651_at","no","AT4G00940","Dof-type zinc finger DNA-binding family protein"
"255652_at","no","AT4G00950","Protein of unknown function (DUF688)"
"255653_at","no","AT4G00960","Protein kinase superfamily protein"
"255654_at","no","AT4G00970","cysteine-rich RLK (RECEPTOR-like protein kinase) 41"
"255655_at","no","AT4G00980","zinc knuckle (CCHC-type) family protein"
"255656_at","no","AT4G00990","Transcription factor jumonji (jmjC) domain-containing protein"
"255657_at","no","AT4G00810","60S acidic ribosomal protein family"
"255658_at","no","AT4G00770","unknown protein; Has 127 Blast hits to 120 proteins in 33 species: Archae - 0; Bacteria - 2; Metazoa - 6; Fungi - 8; Plants - 62; Viruses - 3; Other Eukaryotes - 46 (source: NCBI BLink)."
"255659_at","no","AT4G00895","ATPase, F1 complex, OSCP/delta subunit protein"
"255660_at","no","AT4G00755","F-box family protein"
"255661_at","no","AT4G00690","UB-like protease 1B"
"255662_at","no","AT4G00400","glycerol-3-phosphate acyltransferase 8"
"255663_at","no","AT4G00420","Double-stranded RNA-binding domain (DsRBD)-containing protein"
"255664_at","no","AT4G00440","Protein of unknown function (DUF3741)"
"255665_at","no","AT4G00450","RNA polymerase II transcription mediators"
"255666_at","no","AT4G00390","DNA-binding storekeeper protein-related transcriptional regulator"
"255667_at","no","AT4G00240","phospholipase D beta 2"
"255668_s_at","no","AT4G00238;AT4G00250","[AT4G00238, DNA-binding storekeeper protein-related transcriptional regulator];[AT4G00250, DNA-binding storekeeper protein-related transcriptional regulator]"
"255669_at","no","AT4G00416","methyl-CPG-binding domain 3"
"255670_at","no","AT4G00335","RING-H2 finger B1A"
"255671_at","no","AT4G00355","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G45980.1); Has 100 Blast hits to 97 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 100; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255672_at","no","AT4G00310","Putative membrane lipoprotein"
"255673_at","no","AT4G00340","receptor-like protein kinase 4"
"255674_at","no","AT4G00430","plasma membrane intrinsic protein 1;4"
"255675_at","no","AT4G00480","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"255676_at","no","AT4G00490","beta-amylase 2"
"255677_at","no","AT4G00500","alpha/beta-Hydrolases superfamily protein"
"255679_at","no","AT4G00520","Acyl-CoA thioesterase family protein"
"255681_at","no","AT4G00550","digalactosyl diacylglycerol deficient 2"
"255682_at","no","AT4G00560","NAD(P)-binding Rossmann-fold superfamily protein"
"255683_at","no","AT4G00570","NAD-dependent malic enzyme 2"
"255684_at","no","AT4G00590","N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein"
"255685_s_at","no","AT4G00600;AT4G00620","[AT4G00600, Amino acid dehydrogenase family protein];[AT4G00620, Amino acid dehydrogenase family protein]"
"255686_at","no","AT4G00630","K+ efflux antiporter 2"
"255687_at","no","AT4G00630","K+ efflux antiporter 2"
"255688_at","no","AT4G00660","RNAhelicase-like 8"
"255690_at","no","AT4G00360","cytochrome P450, family 86, subfamily A, polypeptide 2"
"255691_at","no","AT4G00370","Major facilitator superfamily protein"
"255692_at","no","AT4G00400","glycerol-3-phosphate acyltransferase 8"
"255693_s_at","no","AT5G01630;AT4G00020","[AT5G01630, BRCA2-like B];[AT4G00020, BREAST CANCER 2 like 2A]"
"255694_at","no","AT4G00050","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"255695_at","no","AT4G00080","Plant invertase/pectin methylesterase inhibitor superfamily protein"
"255696_at","no","AT4G00110","UDP-D-glucuronate 4-epimerase 3"
"255697_at","no","AT4G00130","DNA-binding storekeeper protein-related transcriptional regulator"
"255698_at","no","AT4G00150","GRAS family transcription factor"
"255699_at","no","AT4G00190","pectin methylesterase 38"
"255700_at","no","AT4G00200","AT hook motif DNA-binding family protein"
"255701_at","no","AT4G00220","Lateral organ boundaries (LOB) domain family protein"
"255702_at","no","AT4G00230","xylem serine peptidase 1"
"255703_at","no","AT4G00040","Chalcone and stilbene synthase family protein"
"255704_at","no","AT4G00170","Plant VAMP (vesicle-associated membrane protein) family protein"
"255705_at","no","AT4G00160","F-box/RNI-like/FBD-like domains-containing protein"
"255706_at","no","AT4G00100","ribosomal protein S13A"
"255707_at","no","AT4G00231","ARM repeat superfamily protein"
"255708_at","no","AT4G00232","DNA-binding storekeeper protein-related transcriptional regulator"
"255709_at","no","AT4G00180","Plant-specific transcription factor YABBY family protein"
"255710_at","no","AT4G00030","Plastid-lipid associated protein PAP / fibrillin family protein"
"255711_at","no","AT4G00090","Transducin/WD40 repeat-like superfamily protein"
"255712_at","no","AT4G00280","BEST Arabidopsis thaliana protein match is: Leucine-rich repeat transmembrane protein kinase protein (TAIR:AT2G19210.1); Has 19 Blast hits to 19 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 19; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255713_s_at","no","AT4G00290;AT4G00234","[AT4G00290, Mechanosensitive ion channel protein];[AT4G00234, BEST Arabidopsis thaliana protein match is: Mechanosensitive ion channel protein (TAIR:AT4G00290.1); Has 57 Blast hits to 57 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 56; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).]"
"255714_at","no","AT4G00300","fringe-related protein"
"255715_s_at","no","AT4G00320;AT5G41830","[AT4G00320, F-box/RNI-like superfamily protein];[AT5G41830, RNI-like superfamily protein]"
"255716_at","no","AT4G00330","calmodulin-binding receptor-like cytoplasmic kinase 2"
"255717_at","no","AT4G00350","MATE efflux family protein"
"255718_at","no","AT1G32070","nuclear shuttle interacting"
"255719_at","no","AT1G32080","membrane protein, putative"
"255720_at","no","AT1G32060","phosphoribulokinase"
"255721_at","no","AT1G31940","unknown protein; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G35585.1); Has 67 Blast hits to 67 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 67; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255722_at","no","AT3G29570","unknown protein; Has 271 Blast hits to 164 proteins in 59 species: Archae - 0; Bacteria - 19; Metazoa - 88; Fungi - 42; Plants - 45; Viruses - 9; Other Eukaryotes - 68 (source: NCBI BLink)."
"255723_at","no","AT3G29575","ABI five binding protein 3"
"255724_at","no","AT4G00020","BREAST CANCER 2 like 2A"
"255725_at","no","AT1G25540","phytochrome and flowering time regulatory protein (PFT1)"
"255726_at","no","AT1G25530","Transmembrane amino acid transporter family protein"
"255727_at","no","AT1G25510","Eukaryotic aspartyl protease family protein"
"255728_at","no","AT1G25500","Plasma-membrane choline transporter family protein"
"255729_at","no","AT1G25472;AT1G25470","[AT1G25472, conserved peptide upstream open reading frame 54];[AT1G25470, AP2 domain-containing transcription factor family protein]"
"255730_at","no","AT1G25460","NAD(P)-binding Rossmann-fold superfamily protein"
"255731_at","no","AT1G25490","ARM repeat superfamily protein"
"255732_at","no","AT1G25450","3-ketoacyl-CoA synthase 5"
"255733_at","no","AT1G25400","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G68440.1); Has 21 Blast hits to 21 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 21; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255734_at","no","AT1G25550","myb-like transcription factor family protein"
"255735_at","no","AT1G25520","Uncharacterized protein family (UPF0016)"
"255736_at","no","AT1G25380","NAD+ transporter 2"
"255737_at","no","AT1G25420","Regulator of Vps4 activity in the MVB pathway protein"
"255738_at","no","AT1G25570","Di-glucose binding protein with Leucine-rich repeat domain"
"255739_at","no","AT1G25580","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"
"255740_at","no","AT1G25390","Protein kinase superfamily protein"
"255741_at","no","AT1G25410","isopentenyltransferase 6"
"255742_at","no","AT1G25560","AP2/B3 transcription factor family protein"
"255743_at","no","AT1G25375","Metallo-hydrolase/oxidoreductase superfamily protein"
"255744_at","no","AT1G32040","transposable element gene"
"255745_at","no","AT1G32030","Domain of unknown function (DUF313) "
"255746_at","no","AT1G32020","F-box family protein"
"255747_s_at","no","AT1G32010;AT5G38190","[AT1G32010, myosin heavy chain-related];[AT5G38190, INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: myosin heavy chain-related (TAIR:AT1G32010.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).]"
"255748_at","no","AT1G32000","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G38190.1); Has 14 Blast hits to 14 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 14; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255749_at","no","AT1G31970","DEA(D/H)-box RNA helicase family protein"
"255750_at","no","AT1G31960","unknown protein; Has 4 Blast hits to 4 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 4; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255751_at","no","AT1G31950","Terpenoid cyclases/Protein prenyltransferases superfamily protein"
"255752_at","no","AT1G32050","SCAMP family protein"
"255753_at","no","AT1G18570","myb domain protein 51"
"255754_at","no","AT1G43040","SAUR-like auxin-responsive protein family "
"255755_s_at","no","AT1G43080;AT1G43090;AT1G43110;AT1G43100;AT1G43050","[AT1G43080, Pectin lyase-like superfamily protein];[AT1G43090, Pectin lyase-like superfamily protein];[AT1G43110, pseudogene, putative polygalacturonase, blastp match of 52% identity and 7.3e-73 P-value to GP|4826572|emb|CAB42886.1||AJ238848 polygalacturonase {Phleum pratense}];[AT1G43100, Pectin lyase-like superfamily protein];[AT1G43050, pseudogene, putative polygalacturonase, blastp match of 52% identity and 9.5e-65 P-value to SP|P35339|PGLT_MAIZE Exopolygalacturonase precursor (EC 3.2.1.67) (ExoPG) (Pectinase) (Galacturan 1,4-alpha-galacturonidase). (Maize) {Zea mays}]"
"255756_at","no","AT1G19940","glycosyl hydrolase 9B5"
"255757_at","no","AT4G00460","RHO guanyl-nucleotide exchange factor 3"
"255758_at","no","AT1G16800","P-loop containing nucleoside triphosphate hydrolases superfamily protein"
"255759_at","no","AT1G16790","ribosomal protein-related"
"255760_at","no","AT1G16780","Inorganic H pyrophosphatase family protein"
"255761_at","no","AT1G16770","unknown protein; Has 109 Blast hits to 109 proteins in 52 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 71; Plants - 32; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink)."
"255762_at","no","AT1G16710","histone acetyltransferase of the CBP family 12"
"255763_at","no","AT1G16730","unknown protein 6"
"255764_at","no","AT1G16720","high chlorophyll fluorescence phenotype 173"
"255765_at","no","AT1G16760","Protein kinase protein with adenine nucleotide alpha hydrolases-like domain"
"255766_at","no","AT1G16750","Protein of unknown function, DUF547"
"255767_at","no","AT1G16740","Ribosomal protein L20"
"255768_at","no","AT1G16705","p300/CBP acetyltransferase-related protein-related"
"255769_at","no","AT1G18610","Galactose oxidase/kelch repeat superfamily protein"
"255770_at","no","AT1G18560","BED zinc finger ;hAT family dimerisation domain"
"255772_at","no","AT1G18530","EF hand calcium-binding protein family"
"255773_at","no","AT1G18590","sulfotransferase 17"
"255774_at","no","AT1G18620","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G74160.1); Has 1987 Blast hits to 1263 proteins in 207 species: Archae - 0; Bacteria - 172; Metazoa - 665; Fungi - 149; Plants - 271; Viruses - 6; Other Eukaryotes - 724 (source: NCBI BLink)."
"255775_at","no","AT1G18600","RHOMBOID-like protein 12"
"255776_at","no","AT1G18540","Ribosomal protein L6 family protein"
"255777_at","no","AT1G18630","glycine-rich RNA-binding protein 6"
"255778_at","no","AT1G18640","3-phosphoserine phosphatase"
"255779_at","no","AT1G18650","plasmodesmata callose-binding protein 3"
"255780_at","no","AT1G18580","galacturonosyltransferase 11"
"255781_at","no","AT1G19880","Regulator of chromosome condensation (RCC1) family protein"
"255782_at","no","AT1G19850","Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related"
"255783_at","no","AT1G19870","IQ-domain 32"
"255784_at","no","AT1G19860","Zinc finger C-x8-C-x5-C-x3-H type family protein"
"255785_at","no","AT1G19920","Pseudouridine synthase/archaeosine transglycosylase-like family protein"
"255786_at","no","AT1G19670","chlorophyllase 1"
"255787_at","no","AT2G33590","NAD(P)-binding Rossmann-fold superfamily protein"
"255788_at","no","AT2G33310","auxin-induced protein 13"
"255789_at","no","AT2G33370","Ribosomal protein L14p/L23e family protein"
"255790_at","no","AT2G33560","BUB1-related (BUB1: budding uninhibited by benzymidazol 1)"
"255791_at","no","AT2G33430","differentiation and greening-like 1"
"255792_at","no","AT2G33620","AT hook motif DNA-binding family protein"
"255793_at","no","AT2G33250","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G04310.1); Has 41 Blast hits to 41 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255794_at","no","AT2G33480","NAC domain containing protein 41"
"255795_at","no","AT2G33380","Caleosin-related family protein"
"255796_at","no","AT2G33290","SU(VAR)3-9 homolog 2"
"255797_at","no","AT2G33630","NAD(P)-binding Rossmann-fold superfamily protein"
"255798_at","no","AT2G33255","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein"
"255799_at","no","AT4G10180","light-mediated development protein 1 / deetiolated1 (DET1)"
"255800_at","no","AT4G10200","TTF-type zinc finger protein with HAT dimerisation domain"
"255801_at","no","AT4G10130","DNAJ heat shock N-terminal domain-containing protein"
"255802_s_at","no","AT4G10150;AT4G10160","[AT4G10150, RING/U-box superfamily protein];[AT4G10160, RING/U-box superfamily protein]"
"255803_at","no","AT4G10170","SNARE-like superfamily protein"
"255804_at","no","AT4G10220","Protein of Unknown Function (DUF239)"
"255805_at","no","AT4G10240","B-box zinc finger family protein"
"255806_at","no","AT4G10260","pfkB-like carbohydrate kinase family protein"
"255807_at","no","AT4G10270","Wound-responsive family protein"
"255808_at","no","AT4G10280","RmlC-like cupins superfamily protein"
"255809_at","no","AT4G10300","RmlC-like cupins superfamily protein"
"255810_at","no","AT4G10140","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2062 (InterPro:IPR018639); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G33490.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"255811_at","no","AT4G10250","HSP20-like chaperones superfamily protein"
"255812_at","no","AT4G10310","high-affinity K+ transporter 1"
"255813_at","no","AT1G19930","Galactose oxidase/kelch repeat superfamily protein"
"255814_at","no","AT1G19900","glyoxal oxidase-related protein"
"255815_at","no","AT1G19890","male-gamete-specific histone H3"
"255816_at","no","AT2G33470","glycolipid transfer protein 1"
"255817_at","no","AT2G33330","plasmodesmata-located protein 3"
"255818_at","no","AT2G33570","Domain of unknown function (DUF23)"
"255819_s_at","no","AT2G40590;AT2G40510","[AT2G40590, Ribosomal protein S26e family protein];[AT2G40510, Ribosomal protein S26e family protein]"
"255820_at","no","AT2G40580","Protein kinase superfamily protein"
"255821_at","no","AT2G40570","initiator tRNA phosphoribosyl transferase family protein"
"255822_at","no","AT2G40610","expansin A8"
"255823_at","no","AT2G40470","LOB domain-containing protein 15"
"255824_at","no","AT2G40530","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: leaf apex, inflorescence meristem, petal, flower; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; Has 5 Blast hits to 5 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 5; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255825_at","no","AT2G40475","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G56260.2); Has 477 Blast hits to 219 proteins in 41 species: Archae - 0; Bacteria - 4; Metazoa - 91; Fungi - 61; Plants - 144; Viruses - 0; Other Eukaryotes - 177 (source: NCBI BLink)."
"255826_at","no","AT2G40490","Uroporphyrinogen decarboxylase"
"255827_at","no","AT2G40600","appr-1-p processing enzyme family protein"
"255828_at","no","AT2G40630","Uncharacterised conserved protein (UCP030365)"
"255829_at","no","AT2G40540","potassium transporter 2"
"255830_at","no","AT2G33340","MOS4-associated  complex 3B"
"255831_at","no","AT2G33350","CCT motif family protein"
"255832_at","no","AT2G33360","Protein of unknown function (DUF3527)"
"255833_at","no","AT2G33390","unknown protein; Has 34 Blast hits to 34 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255834_at","no","AT2G33410","RNA-binding (RRM/RBD/RNP motifs) family protein"
"255835_at","no","AT2G33420","Protein of unknown function (DUF810)"
"255836_at","no","AT2G33440","RNA-binding (RRM/RBD/RNP motifs) family protein"
"255837_at","no","AT2G33460","ROP-interactive CRIB motif-containing protein 1"
"255838_at","no","AT2G33490","hydroxyproline-rich glycoprotein family protein"
"255839_at","no","AT2G33500","B-box type zinc finger protein with CCT domain"
"255840_at","no","AT2G33520","unknown protein; Has 68 Blast hits to 68 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 8; Fungi - 2; Plants - 58; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255841_at","no","AT2G33260","Tryptophan/tyrosine permease"
"255842_at","no","AT2G33530","serine carboxypeptidase-like 46"
"255843_at","no","AT2G33540","C-terminal domain phosphatase-like 3"
"255844_at","no","AT2G33580","Protein kinase superfamily protein"
"255845_at","no","AT2G33600","NAD(P)-binding Rossmann-fold superfamily protein"
"255846_at","no","AT2G33610","switch subunit 3"
"255847_at","no","AT2G33270","atypical CYS  HIS rich thioredoxin 3"
"255848_at","no","AT2G33640","DHHC-type zinc finger family protein"
"255849_at","no","AT2G33320","Calcium-dependent lipid-binding (CaLB domain) family protein"
"255850_at","no","AT2G33450","Ribosomal L28 family"
"255851_at","no","AT1G67040","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 11 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G26910.3); Has 89 Blast hits to 84 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 5; Fungi - 2; Plants - 82; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255852_at","no","AT1G66970","SHV3-like 2"
"255853_at","no","AT1G67020","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: leaf; Has 72 Blast hits to 72 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 72; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"255854_at","no","AT1G67050","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G38320.1); Has 617 Blast hits to 318 proteins in 80 species: Archae - 0; Bacteria - 16; Metazoa - 141; Fungi - 62; Plants - 128; Viruses - 2; Other Eukaryotes - 268 (source: NCBI BLink)."
"255855_at","no","AT1G66950","pleiotropic drug resistance 11"
"255856_at","no","AT1G66940","protein kinase-related"
"255857_at","no","AT1G67080","abscisic acid (aba)-deficient 4"
"255858_at","no","AT1G67030","zinc finger protein 6"
"255859_at","no","AT5G34930","arogenate dehydrogenase"
"255860_at","no","AT5G34940","glucuronidase 3"
"255861_at","no","AT2G30290","VACUOLAR SORTING RECEPTOR 2"
"255862_at","no","AT2G30300","Major facilitator superfamily protein"
"255863_s_at","no","AT2G30220;AT2G30310","[AT2G30220, GDSL-like Lipase/Acylhydrolase family protein];[AT2G30310, GDSL-like Lipase/Acylhydrolase family protein]"
"255864_at","no","AT2G30320","Pseudouridine synthase family protein"
"255865_at","no","AT2G30330","GCN5L1 family protein"
"255866_at","no","AT2G30350","Excinuclease ABC, C subunit, N-terminal"
"255868_at","no","AT2G30380","Plant protein of unknown function (DUF641)"
"255869_at","no","AT2G30270","Protein of unknown function (DUF567)"
"255870_at","no","AT2G30280","RNA-directed DNA methylation 4"
"255871_at","no","AT2G30260","U2 small nuclear ribonucleoprotein B"
"255872_at","no","AT2G30360","SOS3-interacting protein 4"
"255873_at","no","AT2G30340","LOB domain-containing protein 13"
"255874_at","no","AT2G40550","E2F target gene 1"
"255875_s_at","no","AT2G40500;AT2G40560","[AT2G40500, Protein kinase superfamily protein];[AT2G40560, Protein kinase superfamily protein]"
"255876_at","no","AT2G40480","Plant protein of unknown function (DUF827)"
"255877_at","no","AT2G40460","Major facilitator superfamily protein"
"255878_at","no","AT2G40620","Basic-leucine zipper (bZIP) transcription factor family protein"
"255879_at","no","AT1G67000","Protein kinase superfamily protein"
"255880_at","no","AT1G67060","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 283 Blast hits to 281 proteins in 136 species: Archae - 0; Bacteria - 145; Metazoa - 0; Fungi - 65; Plants - 41; Viruses - 0; Other Eukaryotes - 32 (source: NCBI BLink)."
"255881_at","no","AT1G67070","Mannose-6-phosphate isomerase, type I"
"255882_x_at","no","AT1G20280","homeobox-leucine zipper protein-related"
"255883_at","no","AT1G20270","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
